id,education_type,first_name,last_name,major,neptune
1,Full Time,Cathy,Ferre,Computer Engineering,0V4M1W
2,Correspondence,Jenna,Skipperbottom,Computer Science,9N7O6I
3,Correspondence,Addy,Stayte,Computer Engineering,0Y9V3E
4,Correspondence,Eleanor,Addison,Business Comp Sci,7P2J7R
5,Correspondence,Ron,Scotsbrook,Computer Science,2V0F7A
6,Part Time,Angie,Artz,Business Comp Sci,0F3U4Q
7,Full Time,Shane,Glave,Computer Engineering,8E8R4K
8,Correspondence,Allegra,Nibley,Computer Engineering,0R2V5N
9,Correspondence,Isabelita,Vanyukov,Computer Science,5A8E7Y
10,Full Time,Frederik,Mocquer,Business Comp Sci,6B8Z0M
11,Full Time,Hammad,Onthank,Business Comp Sci,4H4T1J
12,Part Time,Dael,Copnall,Business Comp Sci,2J0N9B
13,Part Time,Chrotoem,Balke,Computer Engineering,4X1Y1G
14,Part Time,Aindrea,Von Brook,Computer Engineering,1P1N7V
15,Part Time,Fransisco,Garrish,Computer Engineering,1P3O9T
16,Full Time,Selina,Zanre,Computer Science,2B6E3Z
17,Full Time,Arlin,Clemes,Computer Engineering,1E8K7S
18,Full Time,Deni,Girvan,Computer Science,5Y3M3K
19,Part Time,Carey,McAughtry,Computer Engineering,5A2N6R
20,Full Time,Hashim,Lamcken,Computer Engineering,8Z6B7K
21,Correspondence,Ludvig,Ulyat,Computer Engineering,5J6O5W
22,Full Time,Vin,Marchiso,Computer Science,7R2W7S
23,Correspondence,Gaven,O'Deoran,Computer Engineering,2S1C9C
24,Full Time,Pietra,Brodbin,Business Comp Sci,2L4T0W
25,Full Time,Modesty,Pawlowicz,Computer Science,2C2D1E
26,Full Time,Ulla,Gidman,Computer Science,0O4K5U
27,Full Time,Norri,Songer,Business Comp Sci,9U6R4A
28,Part Time,Erie,Jamme,Business Comp Sci,8Y2H7D
29,Part Time,Sam,Pfaff,Computer Engineering,4H5N5B
30,Part Time,Georg,Seiler,Computer Science,4O4G5B
31,Part Time,Leyla,Paolotto,Computer Engineering,9C3N9O
32,Correspondence,Kean,Beston,Business Comp Sci,7M4X2J
33,Correspondence,Cilka,Yeulet,Computer Science,4E7Q6G
34,Correspondence,Richard,Belfrage,Computer Science,1Q5N1G
35,Full Time,Jessy,Dyet,Business Comp Sci,5M4L5Y
36,Correspondence,Sim,Kidstoun,Computer Engineering,3I4Y3P
37,Correspondence,Sigfrid,Patise,Computer Science,3Z7U7E
38,Part Time,Carrie,Fillary,Business Comp Sci,6I2C8B
39,Full Time,Abbott,Obray,Computer Science,6E1Y2I
40,Part Time,Bartholomeo,Moreside,Computer Science,9V7R4Z
41,Correspondence,Corella,Budgen,Business Comp Sci,9P5M0R
42,Full Time,Milo,Beever,Computer Science,0N7U8S
43,Full Time,Fredek,Pidgeley,Computer Engineering,8W1D6Y
44,Correspondence,Florie,Downey,Business Comp Sci,6I9V2C
45,Correspondence,Ashil,Strutt,Business Comp Sci,4Q8U4U
46,Correspondence,Roobbie,Matlock,Computer Science,6S8U5A
47,Part Time,Kelly,Itzakson,Business Comp Sci,7K9M3T
48,Part Time,Jocelyne,Preddy,Computer Engineering,0N8K8L
49,Full Time,Augustine,Yardy,Computer Engineering,3J5M0A
50,Part Time,Berni,Rangell,Computer Engineering,3U8R3O
51,Full Time,Jocko,Crasswell,Business Comp Sci,9A0N5N
52,Full Time,Hynda,Isson,Computer Engineering,6W3I9H
53,Correspondence,Brenn,Kasbye,Business Comp Sci,7Z2N6T
54,Correspondence,Thelma,Edgell,Business Comp Sci,6W9P6N
