neptune,first_name,last_name,major,educationType
2F9G3A,Rivkah,O'Kennavain,MI,part-time
7J3E6V,Alvan,Ianizzi,MI,part-time
5R9F1J,Mathew,Seago,MI,part-time
5A9K0Y,Fanechka,Wilkenson,PTI,part-time
7L5W7U,Brenna,Schaumann,GI,part-time
9L6H4T,Emylee,Hull,MI,part-time
4I7D8P,Gabey,Schuh,GI,full-time
4C5X8X,Sigvard,Sabatini,PTI,part-time
2N9D7R,Shirlee,Danilov,PTI,full-time
0Q8A2O,Pall,Crommett,PTI,full-time
7H5G2J,Doralynne,Amori,PTI,part-time
9U5D7Y,Aloise,Di Batista,PTI,full-time
5V6B0L,Izzy,Rough,GI,full-time
8W3H4S,Elsey,Abrahmer,PTI,part-time
7I0F1G,Bayard,Wannell,GI,full-time
5U0E4R,Ernie,McCoughan,GI,full-time
9Z3T0C,Lizzy,Buchanan,MI,part-time
8Q0Y7W,Cathyleen,Kilvington,PTI,full-time
0O9E3E,Marlane,Kingzeth,GI,full-time
2Z5F8U,Dougy,Roofe,MI,part-time
8K4H9B,Selestina,Hazel,MI,part-time
5D9P1G,Janeta,Nutbean,MI,part-time
4A2J0D,Almire,Feilden,MI,full-time
1N5S9L,Roarke,Quest,MI,part-time
6V2M6E,Nananne,Stainburn,PTI,part-time
8W8S0I,Vanni,Macbane,GI,full-time
3Q0H8Y,Jordan,Da Costa,MI,part-time
9M2S0K,Amy,Laurentino,GI,full-time
9K9G5O,Darryl,Normanell,GI,part-time
0E2T4C,Lee,Cabell,MI,full-time
5R2L4M,Elna,Everton,PTI,part-time
7M6E9X,Marlyn,Brigginshaw,PTI,full-time
3S7X9D,Derrek,Iacofo,PTI,full-time
3N2Y4K,Maryrose,McPike,PTI,part-time
1F6J1U,Germaine,Forster,PTI,part-time
4Z7S9F,Venus,Tellenbrook,PTI,part-time
7I8E3N,Urbano,Scoon,GI,part-time
2N8U9R,Aylmer,Arenson,MI,full-time
6E8J3E,Moyna,Dufaur,GI,part-time
5P1N6T,Beauregard,Risby,PTI,part-time
0Q1K4O,Doloritas,Marven,GI,full-time
1P9X8X,Tate,Jagiela,MI,part-time
1H8F0H,Jorie,Ismay,PTI,part-time
8F7Q1U,Ricoriki,Philipet,PTI,full-time
3K5E8X,Storm,Collier,MI,part-time
9L5F9M,Celinda,Wintringham,GI,full-time
9G2C0T,Pat,Lauritsen,MI,full-time
7N7E8B,Nikolia,Sivyour,MI,full-time
2S4C1R,Ariadne,Yakobovicz,MI,part-time
4W5N3C,Marin,Swinbourne,PTI,full-time
8A0Y6I,Enid,Maidlow,MI,part-time
9C6T4U,Carlita,Bartlett,MI,part-time
6O4Y8I,Parker,Hawlgarth,PTI,part-time
0O4N7L,Leia,Sterry,GI,full-time
9C2O4L,Alex,Kersey,MI,part-time
5U1V5D,Sherlocke,Derrett,PTI,part-time
1Y4Z7T,Sansone,Yersin,PTI,full-time
6K4I4L,Rube,Sulter,MI,full-time
6B5D9J,Osbert,Parkyns,GI,full-time
7N7B7P,Cal,Mulvenna,GI,part-time
8N3Y2X,Melanie,Cline,GI,part-time
2C6J8V,Robin,Kenaway,GI,part-time
6S3E2Y,Vivienne,Nail,MI,full-time
7B7P6C,Issie,Holsall,MI,part-time
6S2P4F,Cheslie,Burdass,MI,full-time
8C4K8W,Engelbert,Washbrook,MI,part-time
9H2D1X,Eustacia,Witham,PTI,part-time
6R5P1A,Connie,Bodman,GI,part-time
4K5N9P,Caro,Coules,GI,full-time
5D0O1W,Nessie,Drysdell,GI,full-time
8M1M7M,Norbert,Mulvin,PTI,full-time
5N5G4U,Min,Yurikov,PTI,full-time
5C6J9H,Faulkner,Leon,PTI,part-time
4T4X5P,Johnnie,Alvar,GI,part-time
0L5W0L,Karole,Thorlby,MI,part-time
9C9X1N,Marillin,Wilshire,PTI,full-time
6F8F2N,Simone,Morgue,PTI,full-time
6S2W8A,Darin,Semple,PTI,full-time
0K9E8G,Paton,Lehrer,PTI,part-time
7M2E8C,Gilligan,Codd,MI,full-time
6G1K3Q,Amber,Boggon,GI,full-time
7K1R4A,Hazlett,Reuben,MI,part-time
2R8P7Q,Cazzie,Ciccoloi,GI,part-time
8J3M1C,Filippa,Garfitt,GI,full-time
3D8D5R,Stevana,Linnane,GI,part-time
9A5Q8K,Enrica,Billham,GI,full-time
3G0W1L,Michaela,Flaunders,MI,part-time
3J5S0A,Dorris,Purseglove,GI,part-time
5P8N5G,Chadwick,Scolland,PTI,full-time
4R4Q1A,Mikol,Scandrite,PTI,part-time
7E3U3A,Ossie,Naptin,MI,part-time
0G2B7I,Eduard,Town,PTI,full-time
4Q8Q0J,Fernando,Van Velden,MI,full-time
4U5Q0L,Kassie,Genike,PTI,part-time
8I3H2C,Reuven,McGlynn,MI,part-time
6U8A9P,Pat,Fort,GI,part-time
1S6Z0W,Matt,Lemmers,MI,part-time
5X1W9L,Ruthie,Lared,PTI,part-time
2B5O0A,Kristian,Bysshe,GI,full-time
0L0P4C,Trenna,Spence,GI,full-time
4P7Q3V,Laure,Bucknall,MI,part-time
4B3I6T,Sauveur,Dawkes,PTI,full-time
3M2W3U,Carie,Wallicker,GI,part-time
7Y9W3R,Eldredge,Fellenor,PTI,full-time
0R2A8F,Lucais,Scothron,GI,part-time
8M7D0N,Alina,Goldis,MI,full-time
8N8W0Y,Russ,Krauss,MI,full-time
0N7D5J,Jeannie,Blasl,MI,full-time
1P3A8C,Cati,Lishmund,PTI,part-time
2P9L8S,Alvira,Cometti,MI,full-time
9B5G2N,Katey,Joicey,MI,part-time
6F0S9F,Gerrie,Prantoni,GI,full-time
3I3I9V,Lanae,Alelsandrowicz,GI,full-time
0U4Y4S,Teirtza,Roskams,GI,part-time
4O2C0R,Indira,Youles,PTI,part-time
5X1Q3M,Breanne,Robroe,MI,part-time
7V7F2K,Tansy,Elleray,PTI,part-time
3E5L1J,Norri,Pennicard,PTI,full-time
3Q0B5N,Osborne,Malcolmson,GI,part-time
6Z9B3A,Rustie,Race,GI,part-time
8M4N2X,Brooks,Backson,GI,full-time
1S9P6Q,Francyne,Pree,GI,part-time
4C8O4G,Mano,Dorn,MI,full-time
8P8W7F,Kamilah,Chansonnau,PTI,full-time
0O4X6Q,Tessi,Sykes,GI,part-time
2V6X9N,Skye,Terram,MI,full-time
1B4K7R,Ronalda,Cancellario,MI,part-time
6Y9G6Q,Morris,Coonan,PTI,full-time
6P4Q3E,Inessa,Cornils,MI,part-time
9Z7W9N,Jewelle,Driver,MI,part-time
6W6N1B,Becca,McGloughlin,PTI,part-time
7O3W1D,Loreen,Grady,PTI,full-time
5L6L1N,Reece,Paffitt,MI,full-time
7T3U5N,Lorinda,Slyford,PTI,part-time
5H5O9S,Uriah,MacCaughey,MI,part-time
7M7I5I,Baxter,Strauss,MI,full-time
3Z9F9B,Elena,Montel,PTI,part-time
3I9R9Q,Derrik,Eversley,MI,full-time
8E7U5C,Alejandro,Tukesby,GI,full-time
9T0R6H,Vittorio,Attlee,PTI,full-time
7S0K6C,Evangelin,Teacy,PTI,full-time
2K7Z5V,Lynea,Kelcher,GI,full-time
9C2C3K,Darby,Figura,MI,part-time
6W0M6H,Shelley,Bodsworth,GI,full-time
3S8I8Y,Julissa,Mickleburgh,GI,full-time
1H0P9P,Jaynell,Sodory,MI,full-time
8A3X4F,Anabel,MacCole,PTI,part-time
2Z1A7Z,Lolly,Clementet,GI,full-time
5D9Y0L,Jonas,Nockells,GI,part-time
2V3B8X,Joann,Shyre,PTI,full-time
2A6B2Z,Mia,Blackly,PTI,full-time
9W6L5O,Mirella,Cohalan,GI,full-time
2K4R2G,Clarette,Clarabut,PTI,full-time
4R5Z3G,Michaelina,Crafter,MI,part-time
7O2D6T,Kain,Rickwood,PTI,part-time
3O1T1F,Barbe,Parradine,PTI,part-time
